,hospital_250,train_station_250,bus_station_250,park_250,place_of_worship_250,liquor_store_250,hospital_500,train_station_500,bus_station_500,park_500,place_of_worship_500,liquor_store_500,hospital_750,train_station_750,bus_station_750,park_750,place_of_worship_750,liquor_store_750,lng,lat
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285563007805127,51.3805029327122
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357643630791085,51.3805029327122
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129472360674922,51.3760038319364
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12226500675723,51.3760038319364
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115057652839538,51.3760038319364
116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,-0.107850298921846,51.3760038319364
117,0,0,0,0,0,0,0,1,0,2,4,0,4,1,3,2,7,0,-0.100642945004155,51.3760038319364
118,0,1,2,0,1,0,0,0,0,2,3,0,5,1,1,4,6,0,-0.0934355910864628,51.3760038319364
119,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,3,0,-0.0862282371687711,51.3760038319364
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790208832510793,51.3760038319364
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0718135293333875,51.3760038319364
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646061754156958,51.3760038319364
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0501914675803123,51.3760038319364
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429841136626205,51.3760038319364
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213620519095453,51.3760038319364
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357767597449288,51.3760038319364
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028569405827237,51.3760038319364
128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.122268901842114,51.3715047311607
129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-0.115062256121674,51.3715047311607
130,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,6,1,-0.107855610401234,51.3715047311607
131,3,0,1,2,5,0,1,0,0,2,6,1,1,1,2,5,8,1,-0.100648964680794,51.3715047311607
132,0,0,0,1,0,0,0,0,0,1,1,0,2,1,2,3,7,0,-0.0862356732399137,51.3715047311607
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573988214980041,51.3760038319364
134,2,0,0,3,3,0,3,1,3,3,6,0,0,0,0,2,11,1,-0.0934423189603537,51.3715047311607
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.0790290275194735,51.3715047311607
136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,-0.0718223817990335,51.3715047311607
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0574090903581533,51.3715047311607
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0502024446377132,51.3715047311607
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429957989172731,51.3715047311607
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357891531968331,51.3715047311607
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213758617559529,51.3715047311607
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028582507476393,51.3715047311607
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-0.0646157360785934,51.3715047311607
144,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.122272795917256,51.3670056303849
145,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115066858210478,51.3670056303849
146,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,2,12,2,-0.1078609205037,51.3670056303849
147,0,0,0,2,7,2,3,0,4,1,10,0,2,1,0,5,12,0,-0.100654982796922,51.3670056303849
148,0,0,0,2,2,0,2,1,0,3,15,2,3,0,4,5,14,0,-0.0934490450901443,51.3670056303849
149,0,0,0,0,0,0,0,0,0,2,3,0,1,1,0,3,3,0,-0.0862431073833664,51.3670056303849
150,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,-0.0790371696765885,51.3670056303849
151,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,-0.0718312319698106,51.3670056303849
152,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,1,0,-0.0646252942630327,51.3670056303849
153,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.0574193565562548,51.3670056303849
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0502134188494769,51.3670056303849
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043007481142699,51.3670056303849
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035801543435921,51.3670056303849
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213896680223652,51.3670056303849
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285956057291431,51.3670056303849
159,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,-0.122276688983001,51.3625065296092
